"LLEGADA","DISTRITO.LOCAL","MUNICIPIO","SECCION","CASILLA","PAN","PRI","PRD","PVEM","PT","PANAL","MORENA","HUMANISTA","ENCUENTRO.SOCIAL","PRI.PVEM.PANAL","PRI.PVEM","PRI.PANAL","PVEM.PANAL","COALICION","CANDIDATO.NO.REGISTRADO","VOTOS.NULOS","TOTAL.VOTOS.VALIDOS","VOTACION.TOTAL.EMITIDA"
262,"CABORCA III  ","SANTA ANA",255,"CONTIGUA 1",213,158,6,2,7,1,4,2,2,0,3,0,0,164,0,7,398,405
238,"CABORCA III  ","CABORCA",293,"BASICA",127,154,4,0,14,0,16,1,4,0,0,0,0,154,0,7,320,327
92,"CABORCA III  ","BENJAMIN HILL",68,"CONTIGUA 1",181,120,3,4,10,7,3,0,6,0,4,0,0,135,0,8,338,346
88,"CABORCA III  ","CABORCA",314,"CONTIGUA 2",145,202,5,3,9,6,22,2,6,2,0,0,0,213,0,9,402,411
225,"CABORCA III  ","CABORCA",311,"BASICA",142,149,4,1,3,10,20,2,5,7,0,0,0,167,0,9,343,352
199,"CABORCA III  ","CABORCA",314,"CONTIGUA 1",148,179,6,3,8,10,28,3,6,0,0,0,0,192,0,1,391,392
273,"CABORCA III  ","CABORCA",317,"CONTIGUA 1",143,176,3,0,6,0,30,1,8,0,0,0,0,176,0,6,367,373
234,"CABORCA III  ","CABORCA",328,"EXTRAORDINARIA 1",45,81,0,1,3,1,1,1,1,1,1,0,0,85,0,0,136,136
157,"CANANEA VI   ","CARBO",329,"CONTIGUA 1",191,92,3,1,43,36,3,2,2,5,2,3,0,139,0,12,383,395
283,"CANANEA VI   ","CANANEA",82,"CONTIGUA 2",98,124,6,4,2,8,4,1,3,2,1,2,0,141,0,5,255,260
130,"CANANEA VI   ","CANANEA",73,"BASICA",97,124,19,3,8,9,4,1,0,6,0,0,0,142,0,6,271,277
313,"CANANEA VI   ","MAGDALENA",129,"BASICA",89,204,14,3,1,3,3,1,1,7,2,12,0,231,0,13,340,353
267,"CANANEA VI   ","MAGDALENA",133,"CONTIGUA 2",80,218,7,4,1,3,2,0,0,0,0,0,0,225,0,6,315,321
51,"CANANEA VI   ","URES",748,"CONTIGUA 1",213,138,22,0,0,23,8,3,3,16,5,3,0,185,0,20,434,454
268,"CANANEA VI   ","MAGDALENA",123,"BASICA",81,215,13,2,3,7,2,2,1,9,2,10,0,245,0,11,347,358
330,"CANANEA VI   ","OPODEPE",623,"BASICA",26,58,0,0,0,0,0,1,4,1,4,3,0,66,0,11,97,108
156,"CANANEA VI   ","MAGDALENA",130,"CONTIGUA 3",95,199,18,2,0,11,3,3,0,19,0,0,0,231,0,4,350,354
257,"CANANEA VI   ","URES",749,"CONTIGUA 1",194,68,33,2,4,28,3,0,4,4,0,2,0,104,0,8,342,350
68,"CANANEA VI   ","MAGDALENA",128,"CONTIGUA 1",62,152,2,5,2,5,5,2,2,12,1,2,0,177,0,11,252,263
32,"CANANEA VI   ","SAN MIGUEL DE HORCASITAS",746,"CONTIGUA 1",182,133,25,5,8,3,19,3,3,8,3,4,0,156,0,45,396,441
306,"CANANEA VI   ","CANANEA",72,"CONTIGUA 1",151,170,22,1,4,5,9,2,1,2,7,4,0,189,0,12,378,390
315,"CANANEA VI   ","URES",750,"CONTIGUA 1",220,108,63,3,3,34,0,2,4,8,2,3,0,158,0,18,450,468
334,"CANANEA VI   ","ARIZPE",42,"BASICA",199,164,27,0,2,3,1,0,0,11,5,10,0,193,0,5,422,427
133,"CANANEA VI   ","ARIZPE",45,"BASICA",62,79,15,2,0,2,0,0,0,5,0,4,2,94,0,4,171,175
210,"CANANEA VI   ","URES",747,"BASICA",228,129,58,3,1,24,1,0,0,14,2,5,0,177,0,18,465,483
169,"EMPALME XIV  ","SAN IGNACIO RIO MUERTO",1105,"BASICA",120,213,29,31,4,2,2,5,1,0,0,0,0,246,1,12,407,420
179,"EMPALME XIV  ","BACUM",762,"CONTIGUA 1",41,138,77,3,2,1,4,0,16,0,0,0,0,142,0,8,282,290
42,"EMPALME XIV  ","GUAYMAS",1097,"BASICA",74,173,20,7,6,7,11,0,0,0,1,0,0,188,0,14,299,313
200,"EMPALME XIV  ","EMPALME",1002,"CONTIGUA 1",87,77,22,8,7,4,6,2,1,0,2,1,0,92,0,6,217,223
211,"EMPALME XIV  ","BACUM",767,"BASICA",63,229,123,14,2,2,9,0,0,1,0,1,0,247,0,4,444,448
